Height,Width,Thickness,Efficiency,Cleaned Efficiency,Model,N/A,N/A,N/A,Power output
1190,550,30,13.8 ~ 15.3 ,15.3,GSUN-5M-(90W,95W,100W),,317.2388
1132,665,35,0.133,13.3,SYM 100 P,NaN,NaN,,317.1793
1095,795,35,11.5,11.5,USP 100,NaN,NaN,,317.1497
1199,808,35,14.5 ~ 15.5 ,15.5,SI-ESF-M-P125-54,NaN,NaN,,317.1437
1199,808,35,14.5 ~ 15.5 ,15.5,SI-ESF-M-M125-54,NaN,NaN,,317.1437
1006,666,35,0.1494,14.94,100W,NaN,NaN,,317.1086
1194,676,50,12.4,12.4,QXC100W/18V,NaN,NaN,,317.072
1195,551,35,15.2,15.2,HYM100W,NaN,NaN,,317.065
1030,670,35,0.145,14.5,GSAM6-100/105W,NaN,NaN,,317.0043
1127,676,35,0.1313,13.13,SI-ESF-M-NE-M-100W,NaN,NaN,,316.8987
1127,676,35,0.1313,13.13,SI-ESF-M-NE-P-100W,NaN,NaN,,316.8987
670,1000,35,14.18 ~ 14.93 ,14.93,GS-100P,NaN,NaN,,316.8982
1005,668,35,0.149,14.9,SL100TU-18P,NaN,NaN,,316.894
1005,668,35,0.149,14.9,10W 9V Glass Solar PV Module,NaN,NaN,,316.894
1005,668,35,0.149,14.9,Off Grid 100W,NaN,NaN,,316.894
1005,668,35,0.149,14.9,SL100TU-18MD,NaN,NaN,,316.894
1005,668,35,13.41 ~ 14.9 ,14.9,ORI-90-100M,NaN,NaN,,316.894
1090,665,35,0.138,13.8,DS-A36-100,NaN,NaN,,316.8928
1090,665,35,0.138,13.8,DS-A18-100,NaN,NaN,,316.8928
1190,500,35,0.1681,16.81,RNG-100D-S,NaN,NaN,,316.8618
1041,679,42,12.03 ~ 14.15 ,14.15,MM 90 Series,NaN,NaN,,316.8561
1010,670,30,0.1478,14.78,HN-PO-100W36,NaN,NaN,,316.8515
1010,670,30,0.1478,14.78,TWT-40W-95W (12V),NaN,NaN,,316.8515
1000,665,30,0.1504,15.04,SKT100P-12,NaN,NaN,,316.8507
1037,527,35,0.183,18.3,GW-100A,NaN,NaN,,316.8295
1037,527,35,18.3,18.3,CR100,NaN,NaN,,316.8295
1058,668,34,0.1415,14.15,PSI100W,NaN,NaN,,316.8135
1058,668,34,0.1415,14.15,4.5V 200mA 0.9W PCB Solar Panel,NaN,NaN,,316.8135
1027,977,39.5,0.1495,14.95,KS-150,NaN,NaN,,316.8109
1030,665,35,0.146,14.6,JTS 100W,NaN,NaN,,316.8086
1155,666,35,13,13,AXN-P6T100,NaN,NaN,,316.7997
1010,680,35,0.1456,14.56,RNG-100P,NaN,NaN,,316.7939
1031,530,35,0.183,18.3,GW-E100A,NaN,NaN,,316.7895
1031,530,35,0.183,18.3,SD-HMF-18-20,NaN,NaN,,316.7895
1031,530,35,0.183,18.3,GW-E100A,NaN,NaN,,316.7895
1100,665,34,0.1367,13.67,DS 100,NaN,NaN,,316.7875
1036,526,35,0.1835,18.35,RNG-100MB,NaN,NaN,,316.7866
